        60 years and over,879,922,"1,624","3,679","1,235",395,125,903,579,332,600,745,182,567,785,"1,873","1,470","1,335",753,239,413,565,"2,927",732,625,"2,669",425,"1,114",693,906,342,"1,186",463,495,"2,120",906,382,455,303,165,372,554,"1,235",392,632,"1,328","1,071",279,395,252,185,949,340,943,488,722,720,"1,174",225,"8,642",602,"1,085","2,240",292,478,"3,349",341,698,502,"1,282",650,"3,374","1,920",230,475
        65 years and over,616,658,"1,098","2,292","1,000",321,71,628,398,271,459,528,94,410,376,"1,266",895,822,528,154,268,363,"2,021",513,369,"1,954",217,854,437,515,205,590,358,319,"1,381",590,247,279,257,103,259,398,719,269,392,"1,047",669,214,294,149,135,686,200,600,279,416,377,744,145,"5,488",430,727,"1,570",210,338,"2,144",165,412,328,850,508,"2,138","1,263",149,297
    SEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Male,"1,305","1,750","2,616","10,021","2,087",507,277,"1,873","1,290","1,531","1,063","1,724",402,"1,927","1,914","7,838","4,563","3,887","1,119",273,"1,456","1,464","7,402","1,823",959,"7,004","1,262","3,373","1,813","2,922","1,001","3,195",890,"1,381","5,318","1,898",755,"1,006",779,417,617,"1,535","4,013","1,363","1,270","3,352","3,841",622,783,"1,017",396,"2,374",682,"2,622",808,"2,073","1,895","4,111",415,"27,214","1,618","2,719","4,629",674,704,"9,740","1,455","1,420","1,136","2,965","1,374","16,696","4,660",549,"1,273"
        Female,"1,479","2,207","3,134","12,224","2,813","1,043",189,"2,109","1,605","2,397","1,665","1,976",531,"3,028","1,969","11,026","6,007","5,547","1,821",502,"1,729","1,851","10,044","2,035","1,175","8,900","1,227","3,988","3,120","2,957","1,579","3,303","1,099","1,685","6,764","2,865",706,"1,442","1,250",842,851,"1,756","4,472","1,346","1,730","4,165","4,876",839,806,"1,038",355,"2,378",846,"2,981",975,"2,649","2,123","6,308",391,"34,764","1,856","3,140","5,826",821,"1,172","12,363","1,985","1,640","1,434","4,238","1,384","19,278","6,559",727,"1,508"
    RACE AND HISPANIC OR LATINO ORIGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        White alone,"1,116","2,116","5,277","17,224","4,548",724,221,"2,897",915,"2,108","2,462","3,559",595,"1,680","3,253","10,349","9,157","2,259","1,860",307,922,"2,067","12,346","3,567","2,013","11,435","2,274","5,960","1,388","4,708","1,010","5,156","1,776","2,110","3,165","4,111",559,"2,273",408,899,702,"2,806","6,663","2,463","2,716","3,905","3,785",363,"1,246",925,737,"2,127","1,402",808,"1,337","3,617","3,559","8,595",517,"18,906","3,110","1,785","8,766","1,488","1,585","12,742","1,691","2,990","1,994","2,782","2,463","22,946","9,153",592,"1,934"
        Black or African American alone,"1,524","1,723",39,397,22,819,171,2,"1,933","1,373",0,2,329,"3,173",410,"6,479",125,"6,496",626,463,"2,108","1,161","3,193",34,28,"3,315",181,768,"2,231",919,947,63,0,406,"8,011",124,861,58,"1,566",320,532,81,"1,163",0,122,"2,963","4,497","1,060",21,"1,076",0,"2,609",18,"4,747",257,440,12,215,213,"36,633",4,"3,500","1,012",0,0,"2,363",127,11,6,"4,063",90,"1,686",806,652,151
        American Indian and Alaska Native alone,0,0,57,502,4,0,0,177,0,11,3,28,0,0,11,139,38,0,36,0,0,0,41,61,0,141,0,10,14,72,0,50,69,0,22,39,0,11,0,7,4,19,14,58,12,167,0,0,46,0,4,0,1,4,8,0,86,80,4,494,0,16,0,0,102,287,10,18,17,23,0,328,54,0,47
        Asian alone,2,0,1,528,45,0,0,41,0,42,0,13,0,30,0,255,160,33,0,0,27,0,360,4,2,95,0,8,17,29,0,10,0,0,16,97,0,0,0,0,21,109,85,2,11,0,17,0,52,0,0,3,0,0,2,2,0,19,0,778,26,0,0,0,0,928,0,2,8,58,0,779,228,0,3
        Native Hawaiian and Other Pacific Islander alone,0,0,0,410,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,17,0,58,0,0,0,44,0,2,0,0,0,0,0,0,0,0,43,0,41,0,16,0,0,0,0,0,0,0,0,0,0,0,0,50,54,50,0,0,0,0,534,0,0,0,0,"1,385",0,0,0
        Some other race alone,20,0,12,"1,008",27,0,0,140,0,242,0,0,0,71,0,"1,092",391,52,0,0,5,0,600,12,0,61,9,74,"1,131",0,591,948,3,12,314,177,0,0,8,0,43,20,209,39,0,241,46,24,90,0,0,0,0,4,134,161,257,424,9,"2,525",7,7,106,0,0,"3,714","1,026",8,204,47,137,"3,475",304,20,606
        Two or more races,122,118,364,"2,176",254,7,74,472,47,152,263,98,9,1,209,550,699,594,418,5,123,87,906,180,69,840,25,483,152,151,32,227,141,536,554,215,41,106,47,33,166,256,308,147,98,241,356,14,134,54,10,13,107,40,45,502,104,"1,086",63,"2,592",273,501,571,7,189,"2,069",52,31,341,230,68,"5,375",674,12,40
        Hispanic or Latino origin (of any race),21,129,235,"5,571",303,251,62,751,251,316,40,203,0,172,277,"1,632",798,348,4,0,372,305,"1,593",221,5,"1,067",87,103,"1,264",533,725,"1,273",17,138,379,603,0,39,20,34,43,115,529,259,67,349,441,24,200,0,6,191,34,57,166,279,498,"1,414",5,"5,536",80,450,667,0,69,"5,771","1,205",155,204,499,201,"9,032","1,150",30,718
"        White alone, not Hispanic or Latino","1,116","2,073","5,135","13,775","4,306",473,216,"2,479",664,"2,092","2,422","3,369",595,"1,580","3,014","9,719","8,865","2,141","1,860",307,659,"1,762","11,603","3,366","2,008","10,465","2,211","5,919","1,259","4,175",876,"4,819","1,776","2,093","3,108","3,685",559,"2,272",406,865,702,"2,770","6,364","2,270","2,660","3,827","3,464",363,"1,139",925,737,"1,959","1,385",767,"1,331","3,582","3,311","7,951",517,"17,152","3,110","1,777","8,251","1,488","1,585","11,664","1,502","2,843","1,994","2,337","2,436","19,509","8,434",582,"1,873"
    EDUCATIONAL ATTAINMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Population 25 years and over,"1,903","2,406","3,790","11,650","3,199","1,001",333,"2,636","1,578","1,730","1,596","2,448",591,"2,468","2,255","9,563","5,178","4,634","1,869",561,"1,665","1,479","8,930","2,225","1,474","9,337","1,573","4,274","2,640","3,347","1,203","3,945","1,205","1,760","6,665","2,587",898,"1,457","1,037",662,876,"2,078","5,038","1,431","2,067","4,357","4,456",832,"1,079","1,041",422,"2,776",984,"2,906","1,203","2,544","2,147","5,381",600,"33,423","1,977","3,426","6,015",878,"1,149","12,426","1,800","1,935","1,626","4,305","1,847","15,703","6,200",762,"1,701"
            Less than high school graduate,611,571,953,"2,933",375,280,121,563,499,325,410,520,57,479,681,"2,077","1,529","1,391",735,88,541,283,"1,312",306,298,"1,398",401,864,870,763,308,"1,133",379,523,"1,493",893,263,397,237,159,194,538,"1,100",427,414,"1,015","1,388",335,284,113,116,635,167,799,225,938,519,"1,377",140,"5,835",432,"1,285","1,231",248,434,"3,890",736,550,299,"1,054",332,"3,763","1,708",211,721
            High school graduate (includes equivalency),907,"1,263","1,565","4,428","1,582",433,124,"1,191",567,691,597,"1,083",358,"1,261",908,"3,527","2,117","1,991",704,283,724,805,"3,907","1,256",451,"3,885",878,"2,167","1,079","1,476",512,"1,659",309,695,"3,049","1,166",392,588,543,280,385,927,"2,519",509,856,"1,816","2,078",267,379,688,177,"1,282",558,"1,055",644,"1,093",867,"2,521",273,"11,621",847,"1,350","2,559",294,468,"4,148",686,597,690,"1,779","1,014","5,744","2,698",325,526
"            Some college, associate's degree",340,474,"1,092","3,115",966,233,66,482,418,524,439,686,149,624,602,"2,734","1,278",987,417,160,357,344,"2,335",478,670,"3,311",265,"1,056",634,979,325,"1,008",372,403,"1,598",446,202,397,210,144,262,493,"1,075",322,708,"1,066",907,183,348,160,88,691,160,920,282,439,557,"1,230",164,"10,434",601,766,"1,584",326,215,"3,292",297,615,490,"1,184",338,"3,986","1,311",144,415
            Bachelor's degree or higher,45,98,180,"1,174",276,55,22,400,94,190,150,159,27,104,64,"1,225",254,265,13,30,43,47,"1,376",185,55,743,29,187,57,129,58,145,145,139,525,82,41,75,47,79,35,120,344,173,89,460,83,47,68,80,41,168,99,132,52,74,204,253,23,"5,533",97,25,641,10,32,"1,096",81,173,147,288,163,"2,210",483,82,39
    EMPLOYMENT STATUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Civilian labor force 16 years and over,646,770,"1,321","5,326","1,269",242,106,912,458,"1,233",641,757,154,"1,233",917,"6,028","1,792","2,427",572,151,626,651,"5,233",897,410,"4,530",615,"1,473",971,"1,138",782,"1,857",451,747,"2,986","1,038",258,690,321,360,309,963,"1,979",527,677,"1,543","2,519",282,432,338,157,798,202,"1,145",514,942,"1,188","3,072",174,"16,386",839,"1,355","2,633",365,355,"5,943",664,520,590,"1,422",763,"11,661","2,779",366,516
            Employed,435,654,"1,134","4,672",913,197,103,723,257,"1,166",544,663,117,980,721,"4,837","1,553","1,450",379,146,495,616,"4,722",832,358,"3,786",516,"1,027",911,865,660,"1,489",416,612,"2,129",944,166,600,115,326,172,792,"1,280",440,413,"1,045","1,659",191,295,172,156,506,143,788,442,762,813,"2,717",144,"12,867",662,"1,160","1,947",303,311,"4,821",541,476,411,"1,242",641,"9,315","2,376",235,376
                Male,251,288,517,"1,989",362,52,87,449,152,413,197,357,58,266,225,"2,066",685,334,157,48,255,179,"1,759",402,147,"1,627",327,409,398,446,192,731,280,239,"1,026",336,33,299,34,157,57,397,602,156,120,235,610,43,190,83,82,237,55,262,213,349,404,992,86,"5,313",323,697,806,117,177,"2,336",357,195,162,424,256,"4,118","1,001",96,214
                Female,184,366,617,"2,683",551,145,16,274,105,753,347,306,59,714,496,"2,771",868,"1,116",222,98,240,437,"2,963",430,211,"2,159",189,618,513,419,468,758,136,373,"1,103",608,133,301,81,169,115,395,678,284,293,810,"1,049",148,105,89,74,269,88,526,229,413,409,"1,725",58,"7,554",339,463,"1,141",186,134,"2,485",184,281,249,818,385,"5,197","1,375",139,162
            Unemployed,211,116,187,654,356,45,3,189,201,67,97,94,37,253,196,"1,191",239,977,193,5,131,35,511,65,52,744,99,446,60,273,122,368,35,135,857,94,92,90,206,34,137,171,699,87,264,498,860,91,137,166,1,292,59,357,72,180,375,355,30,"3,519",177,195,686,62,44,"1,122",123,44,179,180,122,"2,346",403,131,140
                Male,84,34,127,374,99,11,2,134,56,24,55,74,18,21,147,359,85,416,33,1,99,8,334,33,52,282,72,283,50,222,13,172,17,94,472,27,42,17,117,13,88,80,274,66,164,153,416,45,90,54,0,144,16,87,37,76,187,226,26,"1,164",74,80,406,45,5,470,91,22,109,83,101,"1,377",226,70,71
                Female,127,82,60,280,257,34,1,55,145,43,42,20,19,232,49,832,154,561,160,4,32,27,177,32,0,462,27,163,10,51,109,196,18,41,385,67,50,73,89,21,49,91,425,21,100,345,444,46,47,112,1,148,43,270,35,104,188,129,4,"2,355",103,115,280,17,39,652,32,22,70,97,21,969,177,61,69
    WORK EXPERIENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Population 16 years and over,"2,261","2,695","4,614","14,677","3,739","1,153",374,"3,044","2,114","2,997","2,086","2,789",682,"3,504","2,601","13,106","6,492","5,759","2,099",638,"2,045","2,432","13,754","2,792","1,682","11,501","1,906","4,874","3,114","3,984","1,613","4,910","1,477","2,065","8,286","3,280","1,122","1,819","1,462",843,974,"2,482","5,894","1,791","2,393","5,402","5,830",951,"1,231","1,247",568,"3,188","1,106","3,611","1,463","3,164","2,759","7,600",700,"42,381","2,432","4,241","7,684","1,053","1,336","15,268","2,105","2,245","1,943","5,207","2,258","26,795","8,220",894,"1,966"
"            Worked full-time, year-round in the past 12 months",232,286,374,"1,968",341,52,59,350,115,340,177,199,70,212,280,"1,624",821,439,177,7,217,165,"2,012",322,132,"1,619",191,252,433,409,262,479,175,132,764,416,30,189,18,114,60,274,516,108,69,475,529,51,80,25,69,284,48,295,169,256,372,"1,020",54,"4,731",244,605,776,135,119,"1,775",292,194,82,523,200,"2,959",712,82,182
            Worked part-time or part-year in the past 12 months,356,417,985,"3,905",892,199,49,584,190,"1,222",460,660,53,929,663,"4,462","1,238","1,596",321,150,435,535,"3,670",689,342,"3,321",391,"1,321",546,854,522,"1,534",340,750,"2,082",786,177,550,355,265,185,748,"1,242",509,719,883,"1,674",191,326,282,116,708,221,672,371,779,731,"2,523",155,"11,914",557,660,"1,834",249,238,"4,582",320,429,482,964,595,"10,185","2,373",238,330
            Did not work,"1,673","1,992","3,255","8,804","2,506",902,266,"2,110","1,809","1,435","1,449","1,930",559,"2,363","1,658","7,020","4,433","3,724","1,601",481,"1,393","1,732","8,072","1,781","1,208","6,561","1,324","3,301","2,135","2,721",829,"2,897",962,"1,183","5,440","2,078",915,"1,080","1,089",464,729,"1,460","4,136","1,174","1,605","4,044","3,627",709,825,940,383,"2,196",837,"2,644",923,"2,129","1,656","4,057",491,"25,736","1,631","2,976","5,074",669,979,"8,911","1,493","1,622","1,379","3,720","1,463","13,651","5,135",574,"1,454"
    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        50 percent of poverty level,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
        125 percent of poverty level,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
        150 percent of poverty level,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
        185 percent of poverty level,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
        200 percent of poverty level,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
        300 percent of poverty level,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
        400 percent of poverty level,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
        500 percent of poverty level,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED,"1,181","1,026","2,401","6,564","1,917",749,159,"1,484",910,"1,939",996,"1,238",406,"1,235","1,197","6,847","2,839","2,484",968,438,834,"1,525","8,155","1,224",923,"6,168",875,"2,480","1,431","1,532",519,"2,379",719,976,"3,562","1,577",336,958,613,339,489,"1,338","2,783",736,"1,412","2,246","2,723",471,477,395,312,"1,355",408,"1,026",552,"1,377","1,030","3,877",438,"21,244",979,"1,617","3,785",445,685,"7,660",876,"1,104","1,077","2,356","1,144","15,879","3,405",459,822
    Male,563,409,"1,142","2,603",871,323,66,733,371,723,336,444,140,365,521,"3,215",884,942,401,196,345,645,"3,370",498,434,"2,385",485,962,510,691,157,"1,192",343,450,"1,658",644,119,404,341,117,224,720,"1,169",391,595,"1,175","1,255",161,217,188,201,493,190,374,238,665,468,"1,402",224,"9,743",498,686,"1,297",128,197,"3,585",352,445,409,893,551,"7,260","1,180",217,317
    Female,618,617,"1,259","3,961","1,046",426,93,751,539,"1,216",660,794,266,870,676,"3,632","1,955","1,542",567,242,489,880,"4,785",726,489,"3,783",390,"1,518",921,841,362,"1,187",376,526,"1,904",933,217,554,272,222,265,618,"1,614",345,817,"1,071","1,468",310,260,207,111,862,218,652,314,712,562,"2,475",214,"11,501",481,931,"2,488",317,488,"4,075",524,659,668,"1,463",593,"8,619","2,225",242,505
    15 years,0,0,0,27,12,0,0,21,0,0,14,0,0,0,0,31,29,7,0,0,27,0,0,7,11,24,9,12,13,0,3,0,0,0,8,0,0,0,8,0,0,35,0,14,0,17,28,0,9,0,0,0,0,0,0,16,0,0,0,148,0,8,9,0,0,52,35,0,0,0,0,0,1,0,0
    16 to 17 years,33,11,61,186,42,0,0,0,0,30,74,39,1,4,6,40,232,11,6,2,3,0,5,10,66,71,14,19,15,37,0,42,5,0,59,7,0,2,0,0,0,50,91,9,85,0,87,0,0,0,0,0,8,0,0,27,25,138,8,128,0,14,90,5,0,44,34,0,0,3,0,39,87,0,1
