Label (Grouping),"Arkansas County, Arkansas!!Total!!Estimate","Ashley County, Arkansas!!Total!!Estimate","Baxter County, Arkansas!!Total!!Estimate","Benton County, Arkansas!!Total!!Estimate","Boone County, Arkansas!!Total!!Estimate","Bradley County, Arkansas!!Total!!Estimate","Calhoun County, Arkansas!!Total!!Estimate","Carroll County, Arkansas!!Total!!Estimate","Chicot County, Arkansas!!Total!!Estimate","Clark County, Arkansas!!Total!!Estimate","Clay County, Arkansas!!Total!!Estimate","Cleburne County, Arkansas!!Total!!Estimate","Cleveland County, Arkansas!!Total!!Estimate","Columbia County, Arkansas!!Total!!Estimate","Conway County, Arkansas!!Total!!Estimate","Craighead County, Arkansas!!Total!!Estimate","Crawford County, Arkansas!!Total!!Estimate","Crittenden County, Arkansas!!Total!!Estimate","Cross County, Arkansas!!Total!!Estimate","Dallas County, Arkansas!!Total!!Estimate","Desha County, Arkansas!!Total!!Estimate","Drew County, Arkansas!!Total!!Estimate","Faulkner County, Arkansas!!Total!!Estimate","Franklin County, Arkansas!!Total!!Estimate","Fulton County, Arkansas!!Total!!Estimate","Garland County, Arkansas!!Total!!Estimate","Grant County, Arkansas!!Total!!Estimate","Greene County, Arkansas!!Total!!Estimate","Hempstead County, Arkansas!!Total!!Estimate","Hot Spring County, Arkansas!!Total!!Estimate","Howard County, Arkansas!!Total!!Estimate","Independence County, Arkansas!!Total!!Estimate","Izard County, Arkansas!!Total!!Estimate","Jackson County, Arkansas!!Total!!Estimate","Jefferson County, Arkansas!!Total!!Estimate","Johnson County, Arkansas!!Total!!Estimate","Lafayette County, Arkansas!!Total!!Estimate","Lawrence County, Arkansas!!Total!!Estimate","Lee County, Arkansas!!Total!!Estimate","Lincoln County, Arkansas!!Total!!Estimate","Little River County, Arkansas!!Total!!Estimate","Logan County, Arkansas!!Total!!Estimate","Lonoke County, Arkansas!!Total!!Estimate","Madison County, Arkansas!!Total!!Estimate","Marion County, Arkansas!!Total!!Estimate","Miller County, Arkansas!!Total!!Estimate","Mississippi County, Arkansas!!Total!!Estimate","Monroe County, Arkansas!!Total!!Estimate","Montgomery County, Arkansas!!Total!!Estimate","Nevada County, Arkansas!!Total!!Estimate","Newton County, Arkansas!!Total!!Estimate","Ouachita County, Arkansas!!Total!!Estimate","Perry County, Arkansas!!Total!!Estimate","Phillips County, Arkansas!!Total!!Estimate","Pike County, Arkansas!!Total!!Estimate","Poinsett County, Arkansas!!Total!!Estimate","Polk County, Arkansas!!Total!!Estimate","Pope County, Arkansas!!Total!!Estimate","Prairie County, Arkansas!!Total!!Estimate","Pulaski County, Arkansas!!Total!!Estimate","Randolph County, Arkansas!!Total!!Estimate","St. Francis County, Arkansas!!Total!!Estimate","Saline County, Arkansas!!Total!!Estimate","Scott County, Arkansas!!Total!!Estimate","Searcy County, Arkansas!!Total!!Estimate","Sebastian County, Arkansas!!Total!!Estimate","Sevier County, Arkansas!!Total!!Estimate","Sharp County, Arkansas!!Total!!Estimate","Stone County, Arkansas!!Total!!Estimate","Union County, Arkansas!!Total!!Estimate","Van Buren County, Arkansas!!Total!!Estimate","Washington County, Arkansas!!Total!!Estimate","White County, Arkansas!!Total!!Estimate","Woodruff County, Arkansas!!Total!!Estimate","Yell County, Arkansas!!Total!!Estimate"
        65 years and over,"3,251","3,946","12,491","36,336","7,521","1,834",981,"6,310","2,076","3,334","3,086","6,449","1,497","3,636","3,906","14,509","9,745","6,483","3,025","1,507","2,136","2,965","15,113","3,166","2,975","22,884","3,102","7,057","3,510","6,013","2,140","6,137","3,243","2,809","11,533","4,100","1,457","2,904","1,609","1,805","2,395","4,058","9,790","3,119","4,586","6,830","5,773","1,541","2,203","1,615","1,889","4,465","1,954","3,133","1,977","3,966","4,336","9,464","1,845","60,533","3,441","3,744","21,378","1,953","1,937","19,907","2,177","4,230","3,274","6,832","3,981","27,628","12,122","1,414","3,395"
    SEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Male,"8,368","9,352","20,128","137,867","18,157","4,978","2,341","14,057","4,650","9,032","7,019","12,295","3,520","10,117","10,220","51,737","29,541","22,819","8,056","2,837","5,353","7,969","58,112","8,343","5,845","47,239","8,839","22,191","9,396","15,355","6,130","18,209","6,245","7,579","29,800","12,526","3,182","7,923","3,587","3,566","5,785","10,320","36,240","8,396","8,161","20,252","19,487","3,258","4,260","4,082","3,643","10,943","5,063","7,786","4,965","11,153","9,408","29,559","4,041","187,036","9,142","10,263","59,168","5,275","3,939","61,974","7,990","8,460","6,053","18,934","7,717","118,170","36,009","2,986","10,267"
        Female,"8,629","9,865","20,895","137,592","18,683","5,525","2,346","13,799","5,136","10,247","7,508","12,248","4,034","11,020","10,345","54,285","30,026","24,799","8,638","3,170","6,094","8,575","60,125","8,547","6,047","50,911","8,830","22,564","10,694","15,574","6,594","18,580","6,400","7,131","32,425","12,634","3,048","7,863","3,733","4,764","6,096","10,671","36,826","7,986","8,425","21,319","20,516","3,554","4,137","4,082","3,645","11,539","4,894","9,021","5,086","11,544","9,803","30,405","4,038","204,428","8,890","10,282","61,704","4,592","3,838","64,083","7,900","8,515","6,218","19,960","7,954","116,676","37,518","3,140","9,862"
    RACE AND HISPANIC OR LATINO ORIGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        White alone,"12,095","13,769","38,688","212,805","35,178","6,662","3,510","23,634","4,080","13,457","13,820","23,499","6,367","13,195","17,353","81,265","52,270","19,860","12,181","3,128","5,586","11,547","96,357","15,564","11,121","83,629","16,468","41,674","11,124","26,871","8,344","31,992","11,913","11,358","23,608","22,092","3,687","14,934","3,090","6,524","8,744","18,900","64,197","14,282","15,836","28,974","23,659","3,688","7,757","5,086","6,752","12,753","9,210","5,792","8,951","19,600","17,276","52,646","6,945","210,086","16,493","8,152","104,143","8,444","7,022","90,223","9,662","15,849","11,269","24,700","14,746","170,677","65,889","4,236","15,435"
        Black or African American alone,"4,385","4,807",95,"4,796",44,"2,767","1,062",124,"5,373","4,786",62,37,"1,089","7,445","2,128","16,570",735,"23,702","2,643","2,739","5,515","4,569","13,563",63,30,"7,975",374,"1,030","6,086","2,833","2,592",583,1,"1,338","35,380",332,"2,215",136,"4,023","1,403","2,356",276,"3,983",0,122,"10,548","14,069","2,920",28,"2,919",0,"9,461",210,"10,765",371,925,55,"1,274",855,"146,036",115,"11,035","9,656",291,0,"7,550",453,155,6,"12,789",115,"7,302","3,169","1,765",325
        American Indian and Alaska Native alone,35,3,258,"3,268",162,505,0,301,0,32,8,246,24,35,85,340,692,103,36,0,11,0,380,65,47,708,20,73,104,132,41,195,160,7,93,119,9,36,0,13,108,92,223,94,137,525,44,23,102,14,205,12,7,7,20,9,324,306,4,"1,196",31,91,241,34,243,"1,225",308,36,65,236,148,"2,032",206,0,69
        Asian alone,8,30,121,"11,395",252,9,0,286,36,106,7,59,0,113,125,"1,183",782,352,0,6,27,6,"1,486",142,53,675,50,232,27,86,124,293,2,0,554,677,45,6,20,0,41,365,691,106,107,57,162,20,83,6,7,7,6,0,24,7,56,650,29,"8,892",51,19,"1,364",76,8,"5,804",27,35,58,311,38,"6,288",606,0,249
        Native Hawaiian and Other Pacific Islander alone,0,50,7,"1,896",0,0,0,304,0,0,0,15,0,0,0,0,13,0,0,45,0,0,0,16,22,84,38,58,54,0,29,121,0,2,217,64,0,2,0,0,0,0,135,102,41,0,16,0,0,2,20,0,0,0,0,0,45,8,0,249,163,50,107,0,0,0,534,0,0,0,11,"5,949",0,0,0
        Some other race alone,121,190,322,"8,287",141,175,0,566,26,509,9,8,0,75,131,"2,477","1,737",84,3,0,65,96,"2,358",144,2,"1,370",188,364,"1,960",234,"1,293","1,390",75,40,678,506,139,28,25,226,135,189,799,243,11,745,547,24,184,2,55,18,189,37,289,228,667,"2,013",26,"10,415",166,447,"1,739",558,26,"12,103","4,472",69,204,254,174,"18,787",701,20,"3,612"
        Two or more races,353,368,"1,532","33,012","1,063",385,115,"2,641",271,389,621,679,74,274,743,"4,187","3,338","3,517","1,831",89,243,326,"4,093",896,617,"3,709",531,"1,324",735,773,301,"2,215",494,"1,965","1,695","1,370",135,644,162,164,497,"1,169","3,038","1,555",332,722,"1,506",137,243,135,249,231,335,206,396,"1,928",788,"3,067",220,"14,590","1,013",751,"3,622",464,478,"9,152",434,831,669,604,439,"23,811","2,956",105,439
        Hispanic or Latino origin (of any race),629,"1,136","1,061","47,344","1,004","1,686",215,"4,321",613,937,113,643,0,547,870,"5,666","4,960","1,375",357,27,768,632,"5,066",585,48,"5,909",540,"1,294","2,699","1,135","1,705","2,532",303,452,"1,395","3,586",201,268,188,311,212,642,"3,445",994,397,"1,497","1,848",24,381,1,83,560,299,342,676,772,"1,287","5,824",159,"24,434",443,"1,019","6,348",794,220,"18,770","5,397",423,236,"1,586",527,"41,584","3,406",30,"4,219"
"        White alone, not Hispanic or Latino","11,659","12,998","38,049","186,204","34,442","5,747","3,372","21,236","3,664","13,105","13,723","22,929","6,367","12,728","16,682","78,641","49,608","19,207","12,052","3,104","5,029","11,026","93,981","15,210","11,101","79,780","16,185","41,039","10,796","26,066","8,036","31,429","11,807","11,332","22,994","19,728","3,584","14,801","2,962","6,427","8,667","18,659","62,235","13,614","15,465","28,198","22,829","3,688","7,611","5,085","6,730","12,316","9,139","5,680","8,612","19,406","16,752","49,996","6,820","199,669","16,443","8,082","100,100","8,258","7,017","86,307","8,879","15,520","11,237","23,488","14,499","158,041","63,768","4,226","14,960"
    EDUCATIONAL ATTAINMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Population 25 years and over,"11,825","13,324","31,393","181,623","25,874","7,172","3,406","19,737","6,545","12,367","10,270","18,264","5,459","13,712","14,309","69,720","40,343","30,480","11,567","4,557","7,676","10,979","75,602","11,610","8,533","71,436","12,402","30,341","13,275","21,631","8,460","25,007","9,321","10,016","42,389","16,786","4,487","10,733","4,967","5,644","8,248","14,900","48,752","11,443","12,698","28,228","26,153","4,786","6,326","5,590","5,290","15,744","7,029","10,864","7,018","15,512","13,511","40,404","5,901","267,380","12,442","13,875","83,955","6,865","5,703","84,876","9,966","12,349","8,984","26,503","11,584","147,213","49,862","4,375","13,649"
            Less than high school graduate,"1,554","1,970","3,548","18,571","2,795","1,123",525,"2,889","1,372","1,143","1,607","2,081",499,"1,739","1,675","7,127","6,081","4,606","2,088",538,"1,468","1,399","5,065","1,552","1,201","6,764",993,"3,378","2,132","2,252",992,"3,542","1,451","1,605","4,517","3,357",860,"1,588",858,872,821,"1,797","4,781","1,715","1,751","3,560","4,509","1,007",996,476,778,"1,915",601,"1,986",828,"2,860","1,553","6,272",772,"22,178","1,795","2,443","6,689","1,359","1,140","13,079","2,641","2,183","1,359","3,578","1,698","19,819","7,083",765,"3,086"
            High school graduate (includes equivalency),"4,947","6,767","10,861","53,158","8,694","3,076","1,483","6,923","2,511","3,924","4,403","7,739","2,550","5,510","5,869","22,765","13,798","10,804","4,837","2,068","3,388","4,028","22,555","4,816","3,159","22,560","5,286","13,455","5,062","8,246","3,540","9,206","3,096","4,106","17,106","6,815","2,041","4,161","2,174","2,313","3,614","6,582","18,425","5,711","4,623","10,145","10,795","1,970","2,068","2,866","2,006","6,345","3,061","3,426","2,683","6,941","5,110","13,638","2,462","68,006","4,723","5,242","25,697","2,808","2,252","24,956","3,441","4,813","3,099","10,037","4,803","40,434","20,139","1,890","5,099"
"            Some college, associate's degree","3,350","2,978","11,138","47,007","9,802","2,078",980,"5,552","1,670","3,807","2,820","5,318","1,498","3,686","4,090","19,513","12,824","9,717","3,029","1,430","1,776","2,938","22,936","4,024","3,203","24,993","3,874","8,538","3,932","7,352","2,746","8,143","3,100","2,866","11,915","3,913","1,108","3,372","1,366","1,667","2,611","4,618","15,613","2,467","4,412","9,617","7,079","1,158","2,287","1,619","1,641","5,380","2,142","3,886","2,130","3,931","4,741","11,068","1,756","79,227","3,922","4,367","27,938","1,941","1,449","26,463","2,731","3,996","3,222","7,989","3,189","37,250","12,566","1,030","3,545"
            Bachelor's degree or higher,"1,974","1,609","5,846","62,887","4,583",895,418,"4,373",992,"3,493","1,440","3,126",912,"2,777","2,675","20,315","7,640","5,353","1,613",521,"1,044","2,614","25,046","1,218",970,"17,119","2,249","4,970","2,149","3,781","1,182","4,116","1,674","1,439","8,851","2,701",478,"1,612",569,792,"1,202","1,903","9,933","1,550","1,912","4,906","3,770",651,975,629,865,"2,104","1,225","1,566","1,377","1,780","2,107","9,426",911,"97,969","2,002","1,823","23,631",757,862,"20,378","1,153","1,357","1,304","4,899","1,894","49,710","10,074",690,"1,919"
    EMPLOYMENT STATUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Civilian labor force 16 years and over,"8,109","7,438","15,990","141,040","17,055","4,223","2,012","12,276","3,546","9,268","6,762","10,135","3,052","8,746","9,690","53,424","25,784","22,967","7,863","2,670","4,528","7,414","60,034","7,190","4,337","44,030","7,914","21,309","8,481","13,250","5,941","16,968","4,755","6,599","27,339","10,730","2,449","6,969","2,982","3,495","5,452","9,581","34,878","6,976","6,209","17,972","19,289","2,814","3,417","3,388","2,795","9,028","3,951","6,522","4,506","9,859","8,328","27,665","3,800","197,383","7,508","8,588","61,512","4,453","3,035","60,818","6,995","6,322","4,357","16,285","5,854","122,815","32,958","2,883","9,463"
            Employed,"7,762","7,064","15,127","136,833","16,263","3,993","1,845","11,779","3,045","8,903","6,329","9,495","2,992","8,356","9,044","50,432","24,572","20,689","7,215","2,452","4,270","7,246","58,255","6,820","4,081","41,305","7,642","19,740","8,070","12,515","5,600","16,043","4,429","5,921","24,871","10,364","2,254","6,489","2,557","3,385","4,992","9,118","33,081","6,618","5,728","16,620","17,443","2,524","3,119","3,138","2,667","8,465","3,782","5,525","4,340","9,442","7,466","26,225","3,573","187,043","6,961","8,020","59,150","4,192","2,905","57,807","6,657","5,972","4,031","15,572","5,538","117,160","31,158","2,665","9,120"
                Male,"4,019","3,590","7,625","74,538","8,353","2,055","1,191","6,459","1,435","4,640","3,174","5,139","1,473","4,227","4,516","25,695","13,290","10,148","3,818","1,213","2,178","3,659","30,022","3,664","1,978","20,671","4,152","10,629","4,319","6,274","2,899","8,310","2,368","3,501","11,878","5,563","1,153","3,552","1,465","1,530","2,529","4,939","16,740","3,752","2,877","8,958","9,072","1,267","1,564","1,532","1,508","4,287","2,193","2,643","2,296","4,975","4,040","14,122","1,756","91,894","4,150","4,373","30,487","2,333","1,556","30,632","3,913","3,142","2,118","7,801","2,919","63,660","16,709","1,354","5,164"
                Female,"3,743","3,474","7,502","62,295","7,910","1,938",654,"5,320","1,610","4,263","3,155","4,356","1,519","4,129","4,528","24,737","11,282","10,541","3,397","1,239","2,092","3,587","28,233","3,156","2,103","20,634","3,490","9,111","3,751","6,241","2,701","7,733","2,061","2,420","12,993","4,801","1,101","2,937","1,092","1,855","2,463","4,179","16,341","2,866","2,851","7,662","8,371","1,257","1,555","1,606","1,159","4,178","1,589","2,882","2,044","4,467","3,426","12,103","1,817","95,149","2,811","3,647","28,663","1,859","1,349","27,175","2,744","2,830","1,913","7,771","2,619","53,500","14,449","1,311","3,956"
            Unemployed,347,374,863,"4,207",792,230,167,497,501,365,433,640,60,390,646,"2,992","1,212","2,278",648,218,258,168,"1,779",370,256,"2,725",272,"1,569",411,735,341,925,326,678,"2,468",366,195,480,425,110,460,463,"1,797",358,481,"1,352","1,846",290,298,250,128,563,169,997,166,417,862,"1,440",227,"10,340",547,568,"2,362",261,130,"3,011",338,350,326,713,316,"5,655","1,800",218,343
                Male,117,177,439,"2,435",378,60,41,353,258,173,275,496,27,86,385,"1,409",788,"1,108",294,75,190,121,"1,073",150,198,"1,798",190,854,212,535,101,554,229,366,"1,479",217,137,259,306,80,319,222,"1,061",248,333,648,"1,079",114,213,87,46,316,34,380,84,223,434,794,171,"5,195",266,323,"1,375",91,71,"1,514",254,218,234,471,188,"3,325",956,112,136
                Female,230,197,424,"1,772",414,170,126,144,243,192,158,144,33,304,261,"1,583",424,"1,170",354,143,68,47,706,220,58,927,82,715,199,200,240,371,97,312,989,149,58,221,119,30,141,241,736,110,148,704,767,176,85,163,82,247,135,617,82,194,428,646,56,"5,145",281,245,987,170,59,"1,497",84,132,92,242,128,"2,330",844,106,207
    WORK EXPERIENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Population 16 years and over,"13,495","15,246","34,855","211,376","29,354","8,143","3,924","22,524","7,706","15,706","11,862","20,481","6,141","16,954","16,351","82,253","46,577","36,167","13,262","5,100","8,795","13,319","93,133","13,459","9,742","80,928","14,109","35,339","15,405","24,703","9,764","29,065","10,416","11,711","49,463","19,562","5,298","12,641","5,959","6,489","9,552","17,012","56,799","12,990","13,955","33,000","30,879","5,483","7,095","6,484","6,086","17,880","8,014","12,830","8,151","17,999","15,395","47,502","6,738","309,327","14,155","16,251","96,227","7,800","6,430","99,425","11,885","13,880","10,162","30,575","13,008","182,626","57,900","5,000","15,992"
"            Worked full-time, year-round in the past 12 months","6,075","5,087","10,942","111,047","11,309","3,336","1,534","8,501","2,386","5,759","4,558","6,556","2,441","6,276","6,198","37,246","18,605","15,339","5,426","1,863","3,133","5,447","45,601","5,130","2,945","29,136","5,799","13,866","6,525","9,351","4,245","12,117","3,221","3,787","18,980","7,458","1,611","4,612","1,882","2,555","3,712","6,533","26,486","4,710","3,721","13,062","13,100","1,782","2,201","2,283","1,875","6,649","2,761","4,363","3,127","6,751","5,382","18,326","2,783","142,730","5,089","6,116","47,010","3,056","1,838","43,004","4,961","4,268","2,224","12,071","3,931","87,029","22,553","2,241","7,126"
            Worked part-time or part-year in the past 12 months,"2,492","2,818","5,706","33,854","6,684","1,048",537,"4,560","1,264","4,551","2,535","4,198",736,"2,983","3,946","18,024","8,569","7,938","2,586",753,"1,578","2,219","16,675","2,299","1,823","17,336","2,450","8,367","2,228","4,796","1,896","5,950","1,756","3,220","8,568","3,668",916,"2,712","1,265","1,090","1,730","3,633","10,741","2,933","3,024","5,482","6,274","1,045","1,318","1,238","1,191","3,147","1,560","2,121","1,674","3,671","3,061","10,689","1,010","61,629","2,760","2,733","16,184","1,547","1,327","20,417","2,226","2,428","2,453","4,702","2,530","41,028","12,414",588,"2,693"
