        Female,±496,,,,±104,,,,,,,,,,,,±29,,,,,,,±29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±187,,,±66,,,±29,,,,,,±29,,,
            Ever married,±0.4,,,,±0.5,,,,,,,,,,,,±1.0,,,,,,,±1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±1.3,,,±2.3,,,±1.8,,,,,,±2.0,,,
            Female with a birth in the past 12 months,±0.3,,,,±1.0,,,,,,,,,,,,±0.3,,,,,,,±0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±0.8,,,±1.7,,,±1.0,,,,,,±0.6,,,
HOUSEHOLD TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Population 15 to 19 years in households,±777,,,,±231,,,,,,,,,,,,±225,,,,,,,±323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±238,,,±74,,,±70,,,,,,±472,,,
        In married-couple family households,±1.1,,,,±4.1,,,,,,,,,,,,±5.9,,,,,,,±5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±4.4,,,±5.8,,,±5.5,,,,,,±5.5,,,
"        In male householder, no spouse present, family households",±0.6,,,,±1.5,,,,,,,,,,,,±2.8,,,,,,,±2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±3.5,,,±3.0,,,±2.8,,,,,,±2.9,,,
"        In female householder, no spouse present, family households",±1.1,,,,±3.9,,,,,,,,,,,,±5.4,,,,,,,±4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±3.4,,,±4.9,,,±4.8,,,,,,±3.8,,,
        In nonfamily households,±0.6,,,,±1.6,,,,,,,,,,,,±3.8,,,,,,,±3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±1.7,,,±2.5,,,±2.8,,,,,,±3.9,,,
Population 16 to 19 years,"±1,093",,,,±333,,,,,,,,,,,,±182,,,,,,,±322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±328,,,±217,,,±220,,,,,,±335,,,
    IDLENESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Not enrolled in school and not in the labor force,±0.7,,,,±2.1,,,,,,,,,,,,±1.6,,,,,,,±1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±2.6,,,±2.3,,,±3.7,,,,,,±1.2,,,
    LABOR FORCE STATUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        In the labor force,±1.1,,,,±3.3,,,,,,,,,,,,±5.0,,,,,,,±5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±5.0,,,±5.6,,,±5.8,,,,,,±3.8,,,
