Label (Grouping),Arkansas!!Percent!!Estimate,"Arkansas County, Arkansas!!Percent!!Estimate","Ashley County, Arkansas!!Percent!!Estimate","Baxter County, Arkansas!!Percent!!Estimate","Benton County, Arkansas!!Percent!!Estimate","Boone County, Arkansas!!Percent!!Estimate","Bradley County, Arkansas!!Percent!!Estimate","Calhoun County, Arkansas!!Percent!!Estimate","Carroll County, Arkansas!!Percent!!Estimate","Chicot County, Arkansas!!Percent!!Estimate","Clark County, Arkansas!!Percent!!Estimate","Clay County, Arkansas!!Percent!!Estimate","Cleburne County, Arkansas!!Percent!!Estimate","Cleveland County, Arkansas!!Percent!!Estimate","Columbia County, Arkansas!!Percent!!Estimate","Conway County, Arkansas!!Percent!!Estimate","Craighead County, Arkansas!!Percent!!Estimate","Crawford County, Arkansas!!Percent!!Estimate","Crittenden County, Arkansas!!Percent!!Estimate","Cross County, Arkansas!!Percent!!Estimate","Dallas County, Arkansas!!Percent!!Estimate","Desha County, Arkansas!!Percent!!Estimate","Drew County, Arkansas!!Percent!!Estimate","Faulkner County, Arkansas!!Percent!!Estimate","Franklin County, Arkansas!!Percent!!Estimate","Fulton County, Arkansas!!Percent!!Estimate","Garland County, Arkansas!!Percent!!Estimate","Grant County, Arkansas!!Percent!!Estimate","Greene County, Arkansas!!Percent!!Estimate","Hempstead County, Arkansas!!Percent!!Estimate","Hot Spring County, Arkansas!!Percent!!Estimate","Howard County, Arkansas!!Percent!!Estimate","Independence County, Arkansas!!Percent!!Estimate","Izard County, Arkansas!!Percent!!Estimate","Jackson County, Arkansas!!Percent!!Estimate","Jefferson County, Arkansas!!Percent!!Estimate","Johnson County, Arkansas!!Percent!!Estimate","Lafayette County, Arkansas!!Percent!!Estimate","Lawrence County, Arkansas!!Percent!!Estimate","Lee County, Arkansas!!Percent!!Estimate","Lincoln County, Arkansas!!Percent!!Estimate","Little River County, Arkansas!!Percent!!Estimate","Logan County, Arkansas!!Percent!!Estimate","Lonoke County, Arkansas!!Percent!!Estimate","Madison County, Arkansas!!Percent!!Estimate","Marion County, Arkansas!!Percent!!Estimate","Miller County, Arkansas!!Percent!!Estimate","Mississippi County, Arkansas!!Percent!!Estimate","Monroe County, Arkansas!!Percent!!Estimate","Montgomery County, Arkansas!!Percent!!Estimate","Nevada County, Arkansas!!Percent!!Estimate","Newton County, Arkansas!!Percent!!Estimate","Ouachita County, Arkansas!!Percent!!Estimate","Perry County, Arkansas!!Percent!!Estimate","Phillips County, Arkansas!!Percent!!Estimate","Pike County, Arkansas!!Percent!!Estimate","Poinsett County, Arkansas!!Percent!!Estimate","Polk County, Arkansas!!Percent!!Estimate","Pope County, Arkansas!!Percent!!Estimate","Prairie County, Arkansas!!Percent!!Estimate","Pulaski County, Arkansas!!Percent!!Estimate","Randolph County, Arkansas!!Percent!!Estimate","St. Francis County, Arkansas!!Percent!!Estimate","Saline County, Arkansas!!Percent!!Estimate","Scott County, Arkansas!!Percent!!Estimate","Searcy County, Arkansas!!Percent!!Estimate","Sebastian County, Arkansas!!Percent!!Estimate","Sevier County, Arkansas!!Percent!!Estimate","Sharp County, Arkansas!!Percent!!Estimate","Stone County, Arkansas!!Percent!!Estimate","Union County, Arkansas!!Percent!!Estimate","Van Buren County, Arkansas!!Percent!!Estimate","Washington County, Arkansas!!Percent!!Estimate","White County, Arkansas!!Percent!!Estimate","Woodruff County, Arkansas!!Percent!!Estimate","Yell County, Arkansas!!Percent!!Estimate"
            18 to 64 years old,0.5%,0.1%,0.1%,0.3%,0.6%,0.5%,0.1%,0.0%,0.2%,0.4%,0.3%,0.1%,0.1%,0.1%,0.3%,0.1%,0.9%,0.3%,0.4%,0.0%,0.1%,0.0%,0.0%,0.7%,0.4%,0.3%,0.7%,0.1%,0.1%,0.1%,0.2%,1.3%,0.2%,0.7%,0.2%,0.7%,0.4%,0.1%,0.5%,0.4%,0.1%,0.1%,0.3%,0.3%,0.5%,0.3%,0.1%,0.2%,0.2%,0.0%,0.0%,0.1%,0.2%,0.2%,0.1%,0.0%,0.2%,0.3%,1.2%,0.0%,1.0%,0.1%,0.2%,0.4%,0.0%,0.0%,0.3%,0.1%,0.0%,0.3%,0.2%,0.1%,0.9%,0.5%,0.0%,0.2%
            65 years old and over,0.1%,0.0%,0.0%,0.2%,0.1%,0.2%,0.2%,0.9%,0.1%,0.3%,0.2%,0.0%,0.1%,0.0%,0.2%,0.1%,0.0%,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.6%,0.0%,0.1%,0.2%,0.0%,0.0%,0.0%,0.3%,0.0%,0.1%,0.0%,0.0%,0.1%,0.0%,0.0%,0.1%,0.4%,0.1%,0.4%,0.4%,0.0%,0.0%,0.2%,0.0%,0.0%,0.1%,0.2%,0.0%,0.1%,0.0%,0.0%,0.3%,0.3%,0.0%,0.1%,0.3%,0.0%,0.1%,0.0%,0.0%,0.2%,0.0%,0.1%,0.1%,0.0%,0.1%,0.1%,0.1%,0.0%,0.1%
        Asian and Pacific Island languages,1.2%,0.1%,0.1%,0.2%,2.7%,0.4%,0.0%,0.1%,1.5%,0.5%,0.4%,0.0%,0.4%,0.0%,0.6%,0.5%,0.5%,1.3%,0.5%,0.1%,0.0%,0.5%,0.0%,0.9%,0.4%,0.0%,0.8%,0.0%,0.3%,0.2%,0.2%,0.7%,0.5%,0.2%,0.2%,1.0%,1.1%,0.8%,0.0%,0.0%,0.0%,0.4%,1.6%,0.8%,0.6%,0.2%,0.5%,0.2%,0.1%,0.2%,0.0%,0.1%,0.1%,0.1%,0.0%,0.0%,0.0%,0.4%,0.9%,0.0%,1.3%,1.6%,0.4%,0.9%,1.2%,0.2%,3.2%,0.8%,0.0%,0.0%,0.7%,0.6%,3.9%,0.4%,0.0%,1.1%
            5 to 17 years old,0.2%,0.0%,0.0%,0.0%,0.5%,0.1%,0.0%,0.0%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.1%,0.3%,0.0%,0.0%,0.0%,0.2%,0.0%,0.2%,0.1%,0.0%,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.2%,0.2%,0.0%,0.0%,0.0%,0.0%,0.2%,0.0%,0.1%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.3%,0.0%,0.1%,0.3%,0.0%,0.2%,0.0%,0.0%,0.5%,0.0%,0.0%,0.0%,0.2%,0.2%,1.0%,0.0%,0.0%,0.0%
            18 to 64 years old,0.9%,0.1%,0.1%,0.2%,2.0%,0.2%,0.0%,0.1%,0.9%,0.5%,0.3%,0.0%,0.3%,0.0%,0.3%,0.4%,0.4%,0.8%,0.4%,0.0%,0.0%,0.3%,0.0%,0.7%,0.2%,0.0%,0.6%,0.0%,0.2%,0.2%,0.2%,0.7%,0.4%,0.2%,0.1%,0.5%,0.9%,0.6%,0.0%,0.0%,0.0%,0.4%,1.1%,0.7%,0.3%,0.2%,0.4%,0.2%,0.0%,0.2%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.2%,0.6%,0.0%,1.0%,1.3%,0.3%,0.6%,1.2%,0.2%,2.2%,0.7%,0.0%,0.0%,0.3%,0.4%,2.8%,0.3%,0.0%,1.1%
            65 years old and over,0.1%,0.0%,0.0%,0.0%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.1%,0.0%,0.1%,0.0%,0.2%,0.0%,0.1%,0.2%,0.1%,0.0%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.1%,0.0%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.4%,0.0%,0.2%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.2%,0.0%,0.1%,0.2%,0.0%,0.0%,0.5%,0.1%,0.0%,0.0%,0.2%,0.0%,0.1%,0.0%,0.0%,0.0%
        Other languages,0.2%,0.1%,0.0%,0.0%,0.2%,0.1%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.4%,0.0%,0.1%,1.5%,0.0%,0.1%,0.3%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.2%,0.3%,0.1%,0.0%,0.0%,0.0%,0.3%,0.0%,0.0%,0.2%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.2%,0.1%,0.0%,0.1%,0.1%,0.0%,0.0%,0.3%,0.1%,0.5%,0.0%,0.0%,0.1%,0.1%,0.5%,0.2%,0.4%,0.0%,0.0%,0.0%,0.1%,0.2%,0.2%,0.0%,0.0%
            5 to 17 years old,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
            18 to 64 years old,0.2%,0.1%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.3%,0.0%,0.1%,1.0%,0.0%,0.1%,0.3%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.2%,0.2%,0.1%,0.0%,0.0%,0.0%,0.3%,0.0%,0.0%,0.2%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.0%,0.1%,0.1%,0.0%,0.0%,0.2%,0.0%,0.4%,0.0%,0.0%,0.0%,0.0%,0.5%,0.1%,0.3%,0.0%,0.0%,0.0%,0.1%,0.1%,0.2%,0.0%,0.0%
            65 years old and over,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
CITIZENS 18 YEARS AND OVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    All citizens 18 years old and over,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
        Speak only English,96.0%,99.1%,97.9%,97.8%,92.9%,98.3%,92.8%,96.6%,95.7%,95.7%,98.0%,99.3%,98.5%,99.8%,97.7%,97.4%,97.5%,95.1%,98.8%,99.9%,99.1%,97.7%,98.1%,97.1%,98.8%,99.4%,96.5%,98.9%,98.8%,95.6%,97.9%,94.7%,96.7%,97.6%,97.6%,96.6%,94.4%,98.7%,98.7%,98.0%,96.5%,98.6%,96.4%,96.8%,97.2%,98.5%,98.3%,98.1%,97.9%,99.4%,99.7%,99.4%,98.8%,99.1%,98.5%,98.3%,98.8%,97.2%,96.3%,99.3%,95.7%,98.1%,97.4%,97.3%,95.2%,99.4%,90.3%,85.9%,99.1%,99.3%,97.4%,98.7%,90.8%,96.3%,99.8%,91.0%
        Speak a language other than English,4.0%,0.9%,2.1%,2.2%,7.1%,1.7%,7.2%,3.4%,4.3%,4.3%,2.0%,0.7%,1.5%,0.2%,2.3%,2.6%,2.5%,4.9%,1.2%,0.1%,0.9%,2.3%,1.9%,2.9%,1.2%,0.6%,3.5%,1.1%,1.2%,4.4%,2.1%,5.3%,3.3%,2.4%,2.4%,3.4%,5.6%,1.3%,1.3%,2.0%,3.5%,1.4%,3.6%,3.2%,2.8%,1.5%,1.7%,1.9%,2.1%,0.6%,0.3%,0.6%,1.2%,0.9%,1.5%,1.7%,1.2%,2.8%,3.7%,0.7%,4.3%,1.9%,2.6%,2.7%,4.8%,0.6%,9.7%,14.1%,0.9%,0.7%,2.6%,1.3%,9.2%,3.7%,0.2%,9.0%
            Spanish,2.7%,0.7%,2.0%,1.6%,5.6%,0.7%,6.8%,2.2%,3.8%,2.8%,1.3%,0.6%,1.0%,0.0%,1.4%,1.8%,1.5%,3.5%,0.6%,0.1%,0.8%,2.0%,1.5%,1.5%,0.5%,0.2%,2.0%,1.1%,0.9%,4.1%,1.6%,3.6%,2.5%,1.0%,1.7%,1.6%,3.9%,0.7%,0.6%,1.6%,3.0%,0.8%,1.2%,1.9%,1.7%,0.8%,1.3%,1.6%,1.5%,0.4%,0.3%,0.3%,0.7%,0.7%,1.0%,1.4%,1.1%,1.9%,2.2%,0.6%,2.2%,1.0%,2.2%,1.5%,4.2%,0.1%,6.2%,12.7%,0.7%,0.2%,2.0%,0.7%,6.9%,2.8%,0.2%,8.2%
            Other languages,1.3%,0.2%,0.1%,0.6%,1.5%,1.0%,0.4%,1.2%,0.5%,1.6%,0.7%,0.1%,0.5%,0.1%,0.9%,0.7%,1.0%,1.4%,0.6%,0.1%,0.1%,0.3%,0.4%,1.4%,0.7%,0.4%,1.5%,0.0%,0.3%,0.3%,0.5%,1.7%,0.8%,1.4%,0.7%,1.8%,1.7%,0.6%,0.7%,0.5%,0.5%,0.6%,2.4%,1.3%,1.1%,0.7%,0.4%,0.3%,0.6%,0.2%,0.0%,0.3%,0.4%,0.3%,0.5%,0.3%,0.1%,0.9%,1.6%,0.1%,2.0%,0.9%,0.4%,1.1%,0.6%,0.6%,3.5%,1.4%,0.1%,0.5%,0.6%,0.6%,2.3%,0.8%,0.0%,0.8%
