        Female,±924,,,,±158,,,,,,,,,,,,±187,,,,,,,±193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±138,,,±155,,,±149,,,,,,±253,,,
            Ever married,±0.4,,,,±1.0,,,,,,,,,,,,±1.1,,,,,,,±0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±0.7,,,±2.2,,,±2.1,,,,,,±1.3,,,
            Female with a birth in the past 12 months,±0.3,,,,±0.7,,,,,,,,,,,,±0.7,,,,,,,±0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±0.8,,,±1.8,,,±0.8,,,,,,±0.6,,,
HOUSEHOLD TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Population 15 to 19 years in households,"±1,274",,,,±205,,,,,,,,,,,,±382,,,,,,,±406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±248,,,±204,,,±233,,,,,,±523,,,
        In married-couple family households,±1.0,,,,±3.2,,,,,,,,,,,,±5.0,,,,,,,±4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±3.1,,,±5.2,,,±4.3,,,,,,±3.7,,,
"        In male householder, no spouse present, family households",±0.5,,,,±1.4,,,,,,,,,,,,±2.0,,,,,,,±2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±1.7,,,±2.5,,,±3.0,,,,,,±2.4,,,
"        In female householder, no spouse present, family households",±1.1,,,,±2.9,,,,,,,,,,,,±4.6,,,,,,,±4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±3.2,,,±4.3,,,±3.8,,,,,,±3.1,,,
        In nonfamily households,±0.4,,,,±1.0,,,,,,,,,,,,±4.0,,,,,,,±3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±1.2,,,±2.1,,,±1.8,,,,,,±2.6,,,
Population 16 to 19 years,"±1,810",,,,±455,,,,,,,,,,,,±327,,,,,,,±434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±501,,,±347,,,±335,,,,,,±443,,,
    IDLENESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Not enrolled in school and not in the labor force,±0.6,,,,±1.7,,,,,,,,,,,,±1.6,,,,,,,±1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±2.4,,,±2.5,,,±2.4,,,,,,±1.0,,,
    LABOR FORCE STATUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        In the labor force,±0.9,,,,±2.8,,,,,,,,,,,,±4.7,,,,,,,±4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±3.3,,,±4.9,,,±4.0,,,,,,±3.1,,,
