        Female,±470,,,,*****,,,,,,,,,,,,±136,,,,,,,±74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*****,,,±104,,,*****,,,,,,*****,,,
            Ever married,±1.1,,,,±2.5,,,,,,,,,,,,±9.9,,,,,,,±9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±2.8,,,±13.1,,,±8.1,,,,,,±2.2,,,
            Female with a birth in the past 12 months,±1.0,,,,±2.6,,,,,,,,,,,,±10.7,,,,,,,±9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±7.9,,,±13.9,,,±3.8,,,,,,±2.0,,,
HOUSEHOLD TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Population 15 to 19 years in households,±545,,,,±50,,,,,,,,,,,,±137,,,,,,,±93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±67,,,±101,,,±63,,,,,,±76,,,
        In married-couple family households,±3.3,,,,±5.2,,,,,,,,,,,,±19.2,,,,,,,±15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±14.2,,,±16.7,,,±11.1,,,,,,±9.0,,,
"        In male householder, no spouse present, family households",±1.7,,,,±3.1,,,,,,,,,,,,±7.1,,,,,,,±7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±6.7,,,±10.5,,,±6.1,,,,,,±4.7,,,
"        In female householder, no spouse present, family households",±3.3,,,,±5.0,,,,,,,,,,,,±21.0,,,,,,,±14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±15.9,,,±14.7,,,±10.1,,,,,,±8.7,,,
        In nonfamily households,±0.9,,,,±1.7,,,,,,,,,,,,±2.9,,,,,,,±11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±1.9,,,±5.3,,,±2.3,,,,,,±2.7,,,
Population 16 to 19 years,±746,,,,±219,,,,,,,,,,,,±137,,,,,,,±101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±174,,,±143,,,±132,,,,,,±225,,,
    IDLENESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Not enrolled in school and not in the labor force,±1.3,,,,±3.6,,,,,,,,,,,,±1.9,,,,,,,±7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±7.7,,,±10.0,,,±3.9,,,,,,±3.0,,,
    LABOR FORCE STATUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        In the labor force,±2.5,,,,±6.5,,,,,,,,,,,,±17.4,,,,,,,±14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±12.7,,,±13.3,,,±7.7,,,,,,±8.7,,,
